level: 1st_level_spell
school: divination_school
ritual_spell: ritual_spell
casting_time: '1 minute'
range: Touch
verbal_component: verbal_component
somatic_component: somatic_component
material_component: material_component
material_desc: 'a pearl worth at least 100 gold and an owl feather'
expensive_material_component: expensive_material_component
material_component_consumed: '0'
duration: Instantaneous
concentration_spell: '0'
description: "You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any. You learn whether any spells are affecting the item and what they are. If the item was created by a spell, you learn which spell created it.\n\nIf you instead touch a creature throughout the casting, you learn what spells, if any, are currently affecting it."
at_higher_levels: '0'
at_higher_levels_text: ''
bard_spell: bard_spell
cleric_spell: '0'
druid_spell: '0'
paladin_spell: '0'
ranger_spell: '0'
sorcerer_spell: '0'
warlock_spell: '0'
wizard_spell: wizard_spell
sourcebook: phb
page: '252'
